dataset,n_files,raw_triples,norm_triples,folds_applied,remaps_applied,dup_raw,dup_norm,n_entities,n_subjects,n_objects,n_predicates,n_classes,n_target,n_non_target,subj_only,obj_only,avg_degree,median_degree,max_degree,n_components,largest_comp,isolated_nodes
MORTAR,44,59428,59428,828,0,38,40,19493,19407,19233,8,85,21284,38144,260,86,5.155,3,2137,5,19384,0
GEAR,1,9309,9309,623,0,1683,1687,1762,1716,1009,12,46,656,8653,753,46,7.321,5,587,3,1754,0
